Frame,L0_x,L0_y,L1_x,L1_y,L2_x,L2_y,L3_x,L3_y,L4_x,L4_y,L5_x,L5_y,L6_x,L6_y,L7_x,L7_y,L8_x,L8_y,L9_x,L9_y,L10_x,L10_y,L11_x,L11_y,L12_x,L12_y,L13_x,L13_y,L14_x,L14_y,L15_x,L15_y,L16_x,L16_y,L17_x,L17_y,L18_x,L18_y,L19_x,L19_y,L20_x,L20_y,L21_x,L21_y,L22_x,L22_y,L23_x,L23_y,L24_x,L24_y,L25_x,L25_y,L26_x,L26_y,L27_x,L27_y,L28_x,L28_y,L29_x,L29_y,L30_x,L30_y,L31_x,L31_y,L32_x,L32_y
0,238.39,205.1,241.37,196.26,240.83,195.73,240.27,195.07,240.45,194.94,239.29,193.63,238.1,192.29,230.31,188.82,228.43,186.63,227.69,208.5,226.69,206.75,188.66,207.42,192.39,212.3,168.72,269.47,173.77,292.28,177.79,305.01,183.96,350.33,178.95,319.67,185.54,367.91,180.68,319.13,188.81,366.36,179.45,317.3,186.75,359.15,108.95,310.87,101.98,318.66,139.71,402.34,131.85,421.33,134.86,487.33,113.07,531.66,122.93,500.97,99.02,547.73,169.86,509.81,156.45,555.86
1,237.96,205.28,241.39,196.3,240.89,195.74,240.37,195.07,240.48,195.09,239.37,193.79,238.22,192.44,230.22,188.86,227.78,186.76,227.69,208.69,226.66,207.15,187.81,207.86,191.76,215.16,168.96,267.73,174.49,294.58,177.71,309.44,184.14,354.96,178.96,321.58,185.62,370.57,180.71,321.62,188.81,369.57,179.51,320.64,186.83,364.59,109.8,311.59,102.19,319.11,139.34,403.23,131.78,422.86,134.88,487.42,113.15,531.75,122.92,500.95,99.82,546.98,169.8,511.34,156.44,555.85
2,237.37,205.28,241.37,196.17,240.89,195.57,240.37,194.85,240.43,195.02,239.34,193.72,238.17,192.34,229.87,188.78,226.53,186.61,227.39,208.7,226.08,207.17,186.56,208.0,190.72,216.23,169.02,266.88,174.48,295.16,177.64,310.21,184.15,356.38,178.96,321.88,185.71,371.53,181.08,320.21,188.8,371.07,179.86,319.93,186.85,366.26,110.15,312.11,102.2,319.31,138.72,403.84,131.78,423.08,130.72,490.16,113.34,531.69,122.01,500.88,100.74,546.28,169.55,511.73,156.63,555.6
3,237.19,205.38,241.4,196.18,240.94,195.58,240.43,194.85,240.44,195.06,239.36,193.78,238.19,192.39,229.79,188.81,226.22,186.63,227.3,208.84,225.97,207.39,185.91,208.25,190.26,216.3,169.18,266.74,174.46,295.3,177.64,310.42,184.16,357.03,179.57,320.7,185.77,372.06,182.76,320.42,188.81,371.88,180.21,319.24,186.91,367.02,110.33,312.62,102.21,319.52,138.5,404.45,131.78,423.51,128.92,491.17,113.52,531.51,121.15,500.88,100.89,545.74,169.03,511.69,156.58,555.34
4,236.59,205.42,241.32,196.18,240.89,195.58,240.41,194.85,240.29,195.07,239.21,193.78,238.0,192.39,229.49,188.8,225.79,186.6,226.88,208.87,225.4,207.41,184.96,208.46,189.73,216.59,169.12,266.8,174.44,295.34,177.63,311.46,184.15,356.59,180.27,325.19,185.77,371.94,182.93,325.34,188.75,371.81,180.35,319.15,186.9,366.64,110.33,312.95,102.24,319.75,138.44,404.7,131.78,424.17,128.82,492.49,113.57,531.49,121.17,500.98,101.02,545.58,169.02,511.66,156.58,555.24
5,235.91,205.97,241.26,196.44,240.84,195.76,240.34,194.95,240.27,195.53,239.21,194.31,238.02,192.96,228.97,188.78,225.68,186.76,226.25,209.24,225.04,208.04,183.62,208.19,189.41,217.2,168.64,266.79,174.38,295.62,177.69,312.87,184.13,356.41,180.4,326.88,185.76,371.88,182.91,326.8,188.69,371.84,180.59,323.08,186.9,366.67,110.35,313.14,102.28,320.03,138.45,404.89,131.78,424.72,128.79,493.23,113.63,531.49,121.2,500.98,101.07,545.49,168.9,511.68,156.71,555.17
6,235.45,205.98,241.15,196.45,240.75,195.76,240.25,194.96,240.18,195.56,239.14,194.37,237.97,193.03,228.68,188.78,225.32,186.82,225.75,209.26,224.53,208.08,183.33,208.0,189.06,217.22,168.59,266.75,174.23,295.64,177.79,312.85,184.14,356.59,180.52,326.87,185.76,372.09,182.9,326.74,188.66,372.07,180.8,324.08,186.93,367.39,110.71,313.15,102.37,320.06,138.43,404.9,131.7,424.74,131.69,490.78,113.63,531.31,121.45,500.79,101.52,545.33,168.91,511.47,157.12,555.09
7,235.28,206.0,241.14,196.47,240.74,195.79,240.25,194.97,240.15,195.59,239.11,194.41,237.93,193.07,228.66,188.78,225.08,186.82,225.48,209.31,224.17,208.14,183.29,207.99,188.62,217.18,168.69,266.75,173.99,295.62,177.91,312.89,184.1,356.49,180.56,326.57,185.68,372.07,182.88,326.43,188.55,372.04,180.93,324.31,186.91,367.42,111.32,313.16,102.38,320.05,138.22,404.89,131.42,424.76,134.02,489.4,113.62,531.11,122.32,500.67,101.7,545.19,168.9,511.39,156.97,554.58
8,235.49,205.95,241.42,196.36,241.01,195.68,240.49,194.85,240.31,195.5,239.23,194.35,238.01,193.02,228.67,188.64,225.1,186.8,225.53,209.3,224.17,208.14,183.41,207.99,188.19,217.38,168.93,266.76,173.82,295.85,177.99,313.53,184.07,357.18,180.61,326.78,185.63,372.37,182.87,327.05,188.46,372.25,180.96,325.28,186.89,367.79,112.02,313.23,102.38,320.1,137.9,405.11,131.06,425.37,132.56,491.34,113.61,531.08,122.86,500.67,102.06,544.92,168.89,511.37,156.53,554.21
9,235.56,205.74,241.5,196.07,241.07,195.39,240.52,194.55,240.35,195.25,239.25,194.15,238.02,192.87,228.57,188.38,225.12,186.75,225.53,209.21,224.18,208.11,183.41,208.02,187.92,217.59,169.14,266.78,173.72,296.0,178.12,313.67,184.05,357.67,180.7,326.71,185.59,372.73,182.86,327.06,188.34,372.54,180.99,325.41,186.83,368.16,112.04,313.28,102.44,320.28,137.66,405.1,130.52,426.59,131.69,491.57,113.58,531.13,123.42,500.59,102.22,544.89,168.85,510.69,156.33,553.77
