Frame,Phase,ElbowAngle,Errors
0,Impact / Follow-through,154.72,
1,Downswing,160.49,Left arm too straight
2,Downswing,161.72,Left arm too straight
3,Impact / Follow-through,161.93,Left arm too straight
4,Impact / Follow-through,162.28,Left arm too straight
5,Impact / Follow-through,162.83,Left arm too straight
6,Impact / Follow-through,162.71,Left arm too straight
7,Impact / Follow-through,162.64,Left arm too straight
8,Impact / Follow-through,162.6,Left arm too straight
9,Impact / Follow-through,162.62,Left arm too straight
10,Impact / Follow-through,162.69,Left arm too straight
11,Impact / Follow-through,162.85,Left arm too straight
12,Impact / Follow-through,163.33,Left arm too straight
13,Impact / Follow-through,163.3,Left arm too straight
14,Impact / Follow-through,163.26,Left arm too straight
15,Impact / Follow-through,163.27,Left arm too straight
16,Impact / Follow-through,163.1,Left arm too straight
17,Impact / Follow-through,163.08,Left arm too straight
18,Impact / Follow-through,162.98,Left arm too straight
19,Impact / Follow-through,162.67,Left arm too straight
20,Impact / Follow-through,161.95,Left arm too straight
21,Impact / Follow-through,159.3,
22,Downswing,162.53,Left arm too straight
23,Downswing,163.07,Left arm too straight
24,Impact / Follow-through,162.24,Left arm too straight
25,Impact / Follow-through,162.17,Left arm too straight
26,Impact / Follow-through,161.87,Left arm too straight
27,Impact / Follow-through,161.27,Left arm too straight
28,Impact / Follow-through,160.13,Left arm too straight
29,Downswing,158.63,
30,Downswing,158.66,
31,Impact / Follow-through,162.13,Left arm too straight
32,Impact / Follow-through,164.17,Left arm too straight
33,Impact / Follow-through,164.25,Left arm too straight
34,Impact / Follow-through,166.8,Left arm too straight
35,Impact / Follow-through,168.06,Left arm too straight
36,Impact / Follow-through,171.21,Left arm too straight
37,Downswing,172.38,Left arm too straight
38,Downswing,175.12,Left arm too straight
39,Downswing,175.61,Left arm too straight
40,Downswing,176.28,Left arm too straight
41,Impact / Follow-through,169.36,Left arm too straight
42,Downswing,161.89,Left arm too straight
43,Impact / Follow-through,164.74,Left arm too straight
44,Impact / Follow-through,165.82,Left arm too straight
45,Downswing,147.74,
46,Downswing,148.55,
47,Downswing,166.44,Left arm too straight
48,Downswing,170.62,Left arm too straight
49,Impact / Follow-through,155.55,
50,Downswing,134.23,
51,Impact / Follow-through,136.21,
52,Impact / Follow-through,148.52,
53,Downswing,147.21,
54,Downswing,154.94,
55,Downswing,169.09,Left arm too straight
56,Downswing,163.66,Left arm too straight
57,Downswing,166.02,Left arm too straight
58,Impact / Follow-through,163.56,Left arm too straight
59,Impact / Follow-through,166.55,Left arm too straight
60,Impact / Follow-through,169.59,Left arm too straight
61,Impact / Follow-through,170.59,Left arm too straight
62,Impact / Follow-through,171.16,Left arm too straight
63,Impact / Follow-through,170.32,Left arm too straight
64,Impact / Follow-through,169.4,Left arm too straight
65,Impact / Follow-through,170.79,Left arm too straight
66,Downswing,171.91,Left arm too straight
67,Impact / Follow-through,172.93,Left arm too straight
68,Impact / Follow-through,168.93,Left arm too straight
69,Impact / Follow-through,169.97,Left arm too straight
70,Impact / Follow-through,173.35,Left arm too straight
71,Downswing,160.28,Left arm too straight
72,Downswing,125.5,
73,Impact / Follow-through,105.75,
74,Impact / Follow-through,12.96,
75,Impact / Follow-through,80.54,
76,Downswing,159.9,
77,Downswing,176.57,Left arm too straight
78,Downswing,178.21,Left arm too straight
79,Backswing,178.77,Left arm too straight
80,Downswing,146.22,
81,Downswing,133.79,
82,Downswing,157.97,
83,Downswing,137.09,
84,Impact / Follow-through,94.25,
85,Impact / Follow-through,59.54,
86,Impact / Follow-through,44.57,
87,Impact / Follow-through,47.06,
88,Impact / Follow-through,55.87,
89,Impact / Follow-through,32.88,
90,Impact / Follow-through,8.26,
91,Impact / Follow-through,8.17,
92,Impact / Follow-through,21.08,
93,Impact / Follow-through,36.24,
94,Preparation,43.05,
95,Preparation,49.03,
96,Preparation,57.54,
97,Preparation,65.51,
98,Preparation,69.25,
99,Impact / Follow-through,71.67,
100,Impact / Follow-through,72.39,
101,Impact / Follow-through,74.25,
102,Impact / Follow-through,75.3,
103,Impact / Follow-through,75.75,
104,Impact / Follow-through,75.95,
105,Impact / Follow-through,76.23,
106,Impact / Follow-through,75.11,
107,Impact / Follow-through,74.41,
108,Impact / Follow-through,73.77,
109,Impact / Follow-through,73.22,
110,Impact / Follow-through,73.32,
111,Impact / Follow-through,73.1,
112,Impact / Follow-through,73.03,
113,Impact / Follow-through,72.85,
114,Impact / Follow-through,72.82,
115,Impact / Follow-through,72.77,
116,Impact / Follow-through,72.65,
117,Impact / Follow-through,72.73,
118,Impact / Follow-through,72.67,
119,Impact / Follow-through,72.99,
120,Impact / Follow-through,73.01,
121,Impact / Follow-through,72.41,
122,Impact / Follow-through,72.08,
123,Impact / Follow-through,72.08,
124,Impact / Follow-through,71.84,
125,Impact / Follow-through,71.75,
126,Impact / Follow-through,71.91,
127,Impact / Follow-through,71.76,
128,Impact / Follow-through,71.36,
129,Impact / Follow-through,71.02,
130,Impact / Follow-through,71.4,
131,Impact / Follow-through,71.62,
132,Impact / Follow-through,72.14,
133,Impact / Follow-through,71.88,
