Frame,L0_x,L0_y,L1_x,L1_y,L2_x,L2_y,L3_x,L3_y,L4_x,L4_y,L5_x,L5_y,L6_x,L6_y,L7_x,L7_y,L8_x,L8_y,L9_x,L9_y,L10_x,L10_y,L11_x,L11_y,L12_x,L12_y,L13_x,L13_y,L14_x,L14_y,L15_x,L15_y,L16_x,L16_y,L17_x,L17_y,L18_x,L18_y,L19_x,L19_y,L20_x,L20_y,L21_x,L21_y,L22_x,L22_y,L23_x,L23_y,L24_x,L24_y,L25_x,L25_y,L26_x,L26_y,L27_x,L27_y,L28_x,L28_y,L29_x,L29_y,L30_x,L30_y,L31_x,L31_y,L32_x,L32_y
0,978.76,718.07,963.22,714.59,961.96,715.42,960.55,716.23,963.09,715.71,961.96,717.2,960.71,718.69,953.32,733.82,956.14,734.29,985.24,732.56,984.87,734.39,989.63,794.88,1021.97,789.64,1078.62,821.15,1127.9,784.82,1158.08,808.81,1222.02,762.5,1179.86,804.08,1244.5,757.41,1180.89,801.87,1245.09,754.27,1175.63,805.31,1238.74,757.07,1170.02,892.1,1181.03,913.97,1303.6,840.56,1322.95,850.71,1445.58,865.22,1503.09,881.05,1469.94,881.36,1528.26,897.03,1479.9,796.61,1524.75,807.93
1,978.68,717.14,962.73,714.15,961.41,715.21,959.95,716.19,962.77,715.16,961.66,716.76,960.44,718.38,953.1,733.9,955.36,734.47,985.23,731.83,984.87,733.09,991.52,794.39,1020.7,790.09,1087.76,806.12,1126.14,784.79,1172.65,787.21,1217.48,763.09,1201.66,775.6,1240.51,757.79,1206.02,775.89,1240.7,755.04,1196.09,783.24,1234.61,757.92,1170.2,892.06,1181.01,913.62,1305.28,841.7,1325.36,850.73,1447.08,866.91,1503.15,880.18,1471.13,882.73,1528.32,897.17,1479.82,797.6,1524.88,807.23
2,978.65,716.69,962.47,713.92,961.1,715.1,959.62,716.18,962.61,714.81,961.52,716.46,960.32,718.15,952.96,733.99,954.95,734.63,985.23,731.48,984.88,732.43,992.02,794.39,1019.48,790.47,1090.09,803.05,1124.56,784.75,1175.89,782.88,1214.72,763.52,1205.73,770.51,1238.1,758.26,1210.3,771.11,1238.21,755.58,1199.72,778.98,1232.07,758.42,1170.41,892.06,1181.01,913.47,1306.44,842.82,1327.41,851.16,1447.93,867.04,1503.15,880.08,1472.09,882.74,1528.26,897.25,1479.81,797.55,1524.93,806.62
3,978.63,716.53,962.33,713.83,960.94,715.08,959.44,716.19,962.52,714.67,961.44,716.35,960.25,718.07,952.82,734.2,954.56,734.92,985.22,731.4,984.88,732.24,992.24,794.43,1018.74,790.88,1090.74,802.76,1123.97,784.68,1176.38,782.61,1213.73,763.87,1206.34,770.36,1237.46,758.83,1210.94,770.96,1237.66,756.19,1198.18,778.4,1231.39,758.86,1170.43,891.89,1180.96,913.38,1307.04,843.23,1328.39,851.6,1447.64,865.82,1502.7,880.05,1472.56,882.01,1527.34,897.26,1479.22,795.14,1524.95,806.63
4,978.46,716.11,962.07,713.64,960.66,714.98,959.17,716.17,962.3,714.43,961.22,716.16,960.04,717.94,952.66,734.29,954.15,735.1,985.14,731.11,984.83,731.82,992.39,794.32,1018.61,791.32,1090.62,802.67,1123.84,784.68,1176.61,783.06,1213.37,764.27,1204.53,770.56,1237.2,759.38,1210.81,771.57,1237.48,756.76,1197.43,778.87,1231.14,759.33,1170.44,891.58,1180.82,913.35,1307.39,843.53,1329.14,851.82,1448.13,865.81,1502.54,879.92,1472.61,881.76,1527.09,897.33,1478.62,794.28,1525.02,806.6
5,978.32,716.04,961.9,713.64,960.5,715.0,959.02,716.25,962.14,714.42,961.06,716.16,959.88,717.94,952.6,734.48,953.86,735.45,985.04,731.06,984.78,731.71,992.59,794.2,1018.53,791.51,1090.79,802.08,1123.8,784.67,1177.06,782.82,1213.15,764.68,1206.28,770.95,1237.23,760.12,1211.74,771.67,1237.55,757.45,1198.23,778.77,1231.1,759.9,1170.46,891.24,1180.78,913.19,1307.74,843.76,1329.8,851.86,1448.48,865.87,1502.48,879.89,1472.64,881.76,1527.05,897.48,1478.81,794.34,1525.19,806.54
6,978.33,716.01,961.91,713.63,960.5,715.0,959.02,716.3,962.14,714.4,961.06,716.14,959.88,717.93,952.6,734.66,953.81,735.68,985.04,731.01,984.8,731.61,992.8,794.16,1018.56,791.67,1090.78,802.18,1123.8,784.7,1176.53,783.0,1213.03,764.95,1204.57,771.09,1237.28,760.73,1211.23,772.28,1237.62,758.06,1197.75,779.19,1231.08,760.42,1170.47,891.21,1180.77,913.08,1308.0,844.24,1330.2,851.99,1448.9,866.42,1502.34,879.89,1472.79,882.04,1527.01,897.7,1479.03,796.18,1525.18,806.44
7,978.33,715.95,961.91,713.62,960.5,715.0,959.02,716.32,962.14,714.37,961.06,716.12,959.88,717.92,952.59,734.81,953.74,735.86,985.04,730.96,984.8,731.52,992.9,794.14,1018.58,791.84,1090.76,802.36,1123.76,784.73,1176.36,783.29,1212.87,765.19,1203.72,771.26,1237.26,761.25,1209.77,772.33,1237.6,758.54,1197.53,779.64,1230.97,760.79,1170.46,891.19,1180.72,912.96,1307.96,844.6,1330.07,852.35,1448.89,866.89,1502.04,879.91,1472.67,882.29,1526.81,897.85,1479.16,797.38,1525.01,806.41
8,978.29,715.89,961.88,713.62,960.47,715.0,958.99,716.35,962.12,714.35,961.04,716.1,959.86,717.91,952.56,734.96,953.67,735.98,984.99,730.92,984.79,731.43,992.92,794.21,1018.6,791.96,1090.83,802.66,1123.66,784.81,1176.54,783.71,1212.66,765.49,1203.21,772.76,1237.16,761.59,1209.09,772.59,1237.44,758.82,1197.46,780.1,1230.72,761.07,1170.43,891.41,1180.63,912.95,1307.61,844.9,1330.02,852.74,1448.76,867.52,1501.55,879.93,1471.96,882.58,1526.58,897.95,1478.48,798.01,1524.45,806.4
9,978.25,715.85,961.83,713.61,960.41,715.0,958.93,716.36,962.09,714.32,961.0,716.06,959.82,717.88,952.52,735.03,953.62,736.01,984.97,730.91,984.78,731.39,992.89,794.57,1018.58,791.96,1091.24,802.92,1123.67,784.84,1177.23,783.81,1212.75,765.78,1203.64,772.28,1237.2,761.69,1210.63,772.87,1237.42,758.99,1198.33,780.11,1230.7,761.34,1170.39,891.79,1180.6,912.88,1307.49,845.04,1330.07,853.02,1448.74,867.95,1501.06,880.21,1471.72,882.71,1526.37,898.54,1479.17,798.5,1523.97,806.47
10,978.23,715.83,961.79,713.6,960.37,715.0,958.88,716.36,962.05,714.29,960.97,716.03,959.8,717.85,952.48,735.07,953.59,736.03,984.96,730.91,984.78,731.38,992.89,794.92,1018.46,791.96,1091.5,803.04,1123.69,784.91,1178.0,783.7,1212.7,766.08,1205.85,772.18,1237.14,761.84,1211.69,772.87,1237.3,759.13,1199.31,779.91,1230.58,761.53,1170.37,892.42,1180.57,912.88,1307.47,845.06,1330.27,853.16,1449.14,868.32,1501.06,880.49,1471.73,882.9,1526.39,899.3,1480.26,799.48,1523.98,807.17
