Frame,DetectedPhase,Comment
0,Setup,
1,Follow-through,Left arm too bent
2,Follow-through,Left arm too bent
3,Follow-through,Left arm too bent
4,Follow-through,Left arm too bent
5,Follow-through,Left arm too bent
6,Follow-through,Left arm too bent
7,Follow-through,Left arm too bent
8,Follow-through,Left arm too bent
9,Follow-through,Left arm too bent
10,Follow-through,Left arm too bent
11,Follow-through,Left arm too bent
12,Follow-through,
13,Follow-through,
14,Follow-through,
15,Follow-through,
16,Follow-through,
17,Follow-through,
18,Follow-through,
19,Follow-through,
20,Follow-through,
21,Follow-through,
22,Follow-through,
23,Follow-through,
24,Follow-through,
25,Follow-through,
26,Follow-through,
27,Follow-through,
28,Follow-through,
29,Follow-through,
30,Follow-through,
31,Follow-through,
32,Follow-through,
33,Follow-through,
34,Follow-through,
35,Follow-through,
36,Follow-through,
37,Follow-through,
38,Follow-through,
39,Follow-through,
40,Follow-through,
41,Follow-through,
42,Follow-through,
43,Follow-through,
44,Follow-through,
45,Setup,
46,Setup,
47,Setup,
48,Setup,Left arm too straight
49,Setup,Left arm too straight
50,Setup,Left arm too straight
51,Setup,Left arm too straight
52,Setup,Left arm too straight
53,Setup,Left arm too straight
54,Setup,Left arm too straight
55,Setup,Left arm too straight
56,Setup,Left arm too straight
57,Setup,Left arm too straight
58,Setup,Left arm too straight
59,Setup,Left arm too straight
60,Setup,Left arm too straight
61,Setup,Left arm too straight
62,Setup,Left arm too straight
63,Setup,Left arm too straight
64,Setup,Left arm too straight
65,Setup,Left arm too straight
66,Setup,Left arm too straight
67,Setup,Left arm too straight
68,Setup,Left arm too straight
69,Setup,Left arm too straight
70,Setup,Left arm too straight
71,Setup,Left arm too straight
72,Setup,Left arm too straight
73,Setup,Left arm too straight
74,Backswing,Left arm too straight
75,Backswing,Left arm too straight
76,Backswing,Left arm too straight
77,Backswing,Left arm too straight
78,Backswing,Left arm too straight
79,Backswing,Left arm too straight
80,Backswing,Left arm too straight
81,Backswing,Left arm too straight
82,Backswing,Left arm too straight
83,Backswing,Left arm too straight
84,Backswing,
85,Backswing,
86,Backswing,
87,Backswing,
88,Backswing,
89,Backswing,
90,Backswing,
91,Backswing,
92,Backswing,
93,Backswing,Left arm too straight
94,Backswing,
95,Backswing,
96,Backswing,
97,Backswing,
98,Backswing,
99,Backswing,
100,Backswing,
101,Backswing,Left arm too bent
102,Backswing,Left arm too bent
103,Backswing,
104,Backswing,
105,Backswing,
106,Backswing,
107,Backswing,Left arm too bent
108,Backswing,Left arm too bent
109,Backswing,Left arm too bent
110,Backswing,Left arm too bent
111,Backswing,Left arm too bent
112,Backswing,Left arm too bent
113,Backswing,Left arm too bent
114,Backswing,Left arm too bent
115,Backswing,Left arm too bent
116,Backswing,Left arm too bent
117,Backswing,Left arm too bent
118,Backswing,
119,Backswing,
120,Backswing,
121,Backswing,Left arm too bent
122,Backswing,Left arm too bent
123,Backswing,Left arm too bent
124,Backswing,Left arm too bent
125,Backswing,Left arm too bent
126,Backswing,Left arm too bent
127,Backswing,
128,Backswing,
129,Backswing,
130,Backswing,
