frame,x_0,y_0,z_0,v_0,x_1,y_1,z_1,v_1,x_2,y_2,z_2,v_2,x_3,y_3,z_3,v_3,x_4,y_4,z_4,v_4,x_5,y_5,z_5,v_5,x_6,y_6,z_6,v_6,x_7,y_7,z_7,v_7,x_8,y_8,z_8,v_8,x_9,y_9,z_9,v_9,x_10,y_10,z_10,v_10,x_11,y_11,z_11,v_11,x_12,y_12,z_12,v_12,x_13,y_13,z_13,v_13,x_14,y_14,z_14,v_14,x_15,y_15,z_15,v_15,x_16,y_16,z_16,v_16,x_17,y_17,z_17,v_17,x_18,y_18,z_18,v_18,x_19,y_19,z_19,v_19,x_20,y_20,z_20,v_20,x_21,y_21,z_21,v_21,x_22,y_22,z_22,v_22,x_23,y_23,z_23,v_23,x_24,y_24,z_24,v_24,x_25,y_25,z_25,v_25,x_26,y_26,z_26,v_26,x_27,y_27,z_27,v_27,x_28,y_28,z_28,v_28,x_29,y_29,z_29,v_29,x_30,y_30,z_30,v_30,x_31,y_31,z_31,v_31,x_32,y_32,z_32,v_32,phase
0,0.6621889472007751,0.320464015007019,-0.110672153532505,0.994495928287506,0.6704790592193604,0.3066620826721191,-0.0928704813122749,0.9935217499732972,0.6689709424972534,0.305825412273407,-0.0931258872151374,0.9937062859535216,0.6674227714538574,0.3048030436038971,-0.0934094935655593,0.9947782754898072,0.6679209470748901,0.3046002984046936,-0.1618731319904327,0.994499683380127,0.6646875143051147,0.3025439977645874,-0.1620620787143707,0.9942335486412048,0.6613867282867432,0.3004552721977234,-0.1622982770204544,0.9960029721260072,0.6397637128829956,0.295035183429718,0.0056486553512513,0.9902960658073424,0.6345160007476807,0.2916149497032165,-0.3000488877296448,0.9938644766807556,0.632463812828064,0.3257839381694793,-0.0635937377810478,0.9918349981307985,0.6296864151954651,0.3230459988117218,-0.153295949101448,0.9956023693084716,0.5240545272827148,0.3240872323513031,0.2213897109031677,0.9920822381973268,0.534409761428833,0.331719309091568,-0.4484176337718963,0.9997820258140564,0.4686732888221741,0.4210520684719085,0.3121035099029541,0.0247745309025049,0.4826976060867309,0.4566854536533355,-0.4221464693546295,0.9382330775260924,0.4938495755195617,0.4765835404396057,0.2253898680210113,0.0260867048054933,0.5110110640525818,0.5473848581314087,-0.107152983546257,0.7003254294395447,0.4970774352550506,0.4994831681251526,0.2356271296739578,0.0354956425726413,0.5153912305831909,0.574852705001831,-0.1208741068840026,0.6724067330360413,0.5018883347511292,0.4986437261104584,0.1903615593910217,0.0370625406503677,0.5244724750518799,0.5724422931671143,-0.0950721502304077,0.6633629202842712,0.498460054397583,0.4957880079746246,0.2008048743009567,0.0404757894575595,0.5187528729438782,0.5611792802810669,-0.087315559387207,0.6118052005767822,0.3026446402072906,0.4857376217842102,0.2154606133699417,0.9877853393554688,0.2832683324813843,0.497903436422348,-0.2150548249483108,0.9962475895881652,0.3880844116210937,0.6286548376083374,0.3524041771888733,0.5121662616729736,0.3662376403808594,0.6583347916603088,-0.0439554378390312,0.9903573393821716,0.3746118247509002,0.7614481449127197,0.5928946733474731,0.6376623511314392,0.3140843510627746,0.8307116627693176,0.1407616883516311,0.9855788946151732,0.3414651155471802,0.7827662229537964,0.6113712787628174,0.59944087266922,0.2750519514083862,0.8558257818222046,0.1511974036693573,0.958784818649292,0.4718402326107025,0.7965799570083618,0.5854275822639465,0.77825927734375,0.4345713853836059,0.8685282468795776,0.0562813282012939,0.9792431592941284,Setup
1,0.6610053777694702,0.3207543194293976,-0.1234876960515976,0.9945797920227052,0.6705333590507507,0.3067178428173065,-0.1043165102601051,0.9935694932937622,0.6691360473632812,0.3058437705039978,-0.1045534014701843,0.9937119483947754,0.6676862239837646,0.3048032224178314,-0.104814812541008,0.994796872138977,0.6679878830909729,0.3048203885555267,-0.1738972216844558,0.9945499897003174,0.6649123430252075,0.3027989268302917,-0.1740606129169464,0.9942803382873536,0.6617133021354675,0.3006931245326996,-0.1742562651634216,0.9960479140281676,0.6395097374916077,0.295091450214386,-0.001486167195253,0.9903011322021484,0.6327159404754639,0.2918130755424499,-0.3107929527759552,0.9939610958099364,0.6324598789215088,0.3260805010795593,-0.0748853683471679,0.9920507669448853,0.6296118497848511,0.3236754536628723,-0.1654331982135772,0.9957532286643982,0.5217068195343018,0.3247831463813782,0.2145740240812301,0.9922935962677002,0.532660186290741,0.3361934423446655,-0.4574800729751587,0.9997887015342712,0.4693438112735748,0.4183275103569031,0.3029587864875793,0.0252296440303325,0.4846820533275604,0.4602881968021393,-0.4269968271255493,0.9403866529464722,0.4936502575874328,0.4835063815116882,0.2270865589380264,0.0270663537085056,0.5115091800689697,0.5546225309371948,-0.1298486739397049,0.7129020690917969,0.4971013367176056,0.5024610757827759,0.2386107146739959,0.0365327447652816,0.5156096816062927,0.579018235206604,-0.1481578052043914,0.684487521648407,0.5019820332527161,0.5025335550308228,0.1954003423452377,0.0380836501717567,0.5244609713554382,0.5774570107460022,-0.1263624429702758,0.676024317741394,0.4986453652381897,0.500996470451355,0.2036608308553695,0.0413994677364826,0.5189837217330933,0.5696779489517212,-0.1125188544392585,0.6254703402519226,0.3050022423267364,0.4868577122688293,0.2129813283681869,0.9878844618797302,0.2838721573352813,0.4986027181148529,-0.2126536071300506,0.9962563514709472,0.3870640695095062,0.6300508975982666,0.3474350273609161,0.5249969959259033,0.3660453855991363,0.6607192754745483,-0.046531893312931,0.9903070330619812,0.3746532797813415,0.7615919709205627,0.5730346441268921,0.6472110152244568,0.3143138587474823,0.8308581113815308,0.1408753395080566,0.9857664704322816,0.3414343297481537,0.782741129398346,0.5888543725013733,0.6078532338142395,0.2772734463214874,0.854653000831604,0.1515463292598724,0.9589508771896362,0.471664547920227,0.7989658117294312,0.5587596297264099,0.7831922173500061,0.4345630705356598,0.8685165643692017,0.0569279417395591,0.9794799089431764,Setup
2,0.6593694686889648,0.3207515478134155,-0.125871405005455,0.9946561455726624,0.6704838871955872,0.3065133690834045,-0.1065442711114883,0.993626356124878,0.6691330671310425,0.3055807650089264,-0.1067787036299705,0.9937222003936768,0.6676917672157288,0.3044593632221222,-0.1070369184017181,0.9948202967643738,0.6678608059883118,0.3047125041484833,-0.1764937490224838,0.9946078658103944,0.6648203730583191,0.3026853203773498,-0.1766557842493057,0.9943345189094543,0.6615796685218811,0.3005258440971374,-0.1768441498279571,0.9961037635803224,0.6385407447814941,0.2949759662151336,-0.0029959410894662,0.9903125166893004,0.6292441487312317,0.2915756404399872,-0.3143830895423889,0.9940779805183412,0.6316279768943787,0.3260874152183532,-0.0770565494894981,0.9922491312026978,0.6280072331428528,0.3237000405788421,-0.1681096404790878,0.9959039092063904,0.5182343125343323,0.3250055313110351,0.2118210941553115,0.9924893975257874,0.529788076877594,0.3378518223762512,-0.4601882994174957,0.9997948408126832,0.4695117473602295,0.4169934391975403,0.3005062043666839,0.0254825372248888,0.4846647083759308,0.4611909985542297,-0.4276255667209625,0.9426263570785522,0.4934450685977936,0.4847010970115661,0.2274383604526519,0.0280063692480325,0.5115156173706055,0.556849479675293,-0.1312808692455291,0.7251682877540588,0.4971145987510681,0.502942681312561,0.2387700378894806,0.0376428216695785,0.5158587694168091,0.5805141925811768,-0.1493586152791977,0.6964982748031616,0.5029991865158081,0.5003341436386108,0.1960884928703308,0.0391913652420043,0.5244549512863159,0.5798021554946899,-0.1279959231615066,0.6885953545570374,0.4996093213558197,0.499889463186264,0.2043948471546173,0.0423789657652378,0.5190404057502747,0.5722793340682983,-0.114000990986824,0.6390670537948608,0.3059622347354889,0.4876654744148254,0.211039051413536,0.988023281097412,0.2838812172412872,0.4989256858825683,-0.2107305973768234,0.9962856769561768,0.3853424787521362,0.6309964656829834,0.3468421995639801,0.5360720157623291,0.3660655915737152,0.6610630750656128,-0.0472746379673481,0.9903416633605956,0.3631178140640259,0.7658723592758179,0.5719495415687561,0.6560859680175781,0.3148398399353027,0.8307608366012573,0.1408998966217041,0.9860376715660096,0.3389208018779754,0.7826234102249146,0.5877330899238586,0.6160566806793213,0.2798197269439697,0.85356605052948,0.1517475843429565,0.9594544172286988,0.4709791541099548,0.799575924873352,0.5571998357772827,0.7878389358520508,0.4350817799568176,0.8681309819221497,0.0588264986872673,0.979820430278778,Setup
3,0.658854067325592,0.3209070563316345,-0.126658022403717,0.994690477848053,0.6705473065376282,0.3065277338027954,-0.1072081997990608,0.993621826171875,0.6692675352096558,0.3055885136127472,-0.1074404045939445,0.9936659336090088,0.6678667068481445,0.3044604659080505,-0.107697769999504,0.99479079246521,0.6678991317749023,0.3047824203968048,-0.1775781363248825,0.994612991809845,0.6648902297019958,0.3027799725532532,-0.1777375936508178,0.9943302273750304,0.6616250872612,0.3006051182746887,-0.1779243499040603,0.9961195588111876,0.6383046507835388,0.2950215935707092,-0.0032827274408191,0.990240752696991,0.6283873915672302,0.2916169762611389,-0.3170310854911804,0.9941389560699464,0.6313856244087219,0.3263165056705475,-0.0777178257703781,0.9924003481864928,0.6277045607566833,0.3240396380424499,-0.1693913489580154,0.9960252642631532,0.5164287686347961,0.3253836631774902,0.2112347334623336,0.992667555809021,0.5284977555274963,0.3379735350608825,-0.4627652168273926,0.999800443649292,0.4699364900588989,0.4167795181274414,0.3005586266517639,0.0258216448128223,0.4846184253692627,0.46140918135643,-0.4291134178638458,0.9444801211357116,0.4934437274932861,0.4850376546382904,0.2290195077657699,0.0290694963186979,0.5115440487861633,0.557864785194397,-0.1334573924541473,0.7362567782402039,0.4988097846508026,0.5010949373245239,0.2401337474584579,0.0388790741562843,0.5160163640975952,0.5813501477241516,-0.1516377478837967,0.7073230147361755,0.507656455039978,0.5006558895111084,0.1982214152812957,0.040432684123516,0.5244598984718323,0.5810582041740417,-0.1300955116748809,0.6999448537826538,0.5005967617034912,0.4988110661506653,0.2063886374235153,0.0435062423348426,0.5191859602928162,0.5734753012657166,-0.1161299720406532,0.6513633131980896,0.3064599931240082,0.4884732365608215,0.2100854516029358,0.9881572723388672,0.2839303612709045,0.4992493689060211,-0.2097916901111602,0.9963015913963318,0.3847341239452362,0.6319465637207031,0.3466100692749023,0.5459751486778259,0.3660582602024078,0.6617292761802673,-0.0471055284142494,0.9903039932250975,0.3581145107746124,0.7674453854560852,0.5712605714797974,0.6641057729721069,0.3153329491615295,0.8304889798164368,0.147423043847084,0.9862216114997864,0.3365212976932525,0.7826195955276489,0.5870068669319153,0.6235488653182983,0.2802574932575226,0.8527258038520813,0.1600185930728912,0.959774911403656,0.4695415794849396,0.7995105981826782,0.5555852055549622,0.7917130589485168,0.4349474906921386,0.8677171468734741,0.0707090720534324,0.9800300002098083,Setup
4,0.6571807265281677,0.3209724128246307,-0.1277019530534744,0.9947649836540222,0.6703283786773682,0.3065344095230102,-0.1079080551862716,0.9936835765838624,0.6691524982452393,0.305592268705368,-0.1081412956118583,0.9936959743499756,0.667797863483429,0.304460734128952,-0.1083969846367836,0.994830310344696,0.6674628853797913,0.3047913908958435,-0.1786044239997863,0.9946582317352296,0.6644611954689026,0.3027853071689605,-0.1787614971399307,0.9943645000457764,0.6611177325248718,0.3006045222282409,-0.1789445281028747,0.996151864528656,0.6374675035476685,0.2950024604797363,-0.0033469507470726,0.990303099155426,0.6271989345550537,0.2915684282779693,-0.3184820711612701,0.9942044019699096,0.6302124857902527,0.326352059841156,-0.0784989967942237,0.992569386959076,0.6261216402053833,0.3240856826305389,-0.1706526130437851,0.9961428642272948,0.5137730240821838,0.325719952583313,0.2115090638399124,0.9928480982780457,0.5270273089408875,0.3384291231632232,-0.4649005532264709,0.9998051524162292,0.4697830080986023,0.4168756902217865,0.300042062997818,0.0262419246137142,0.4845428466796875,0.4614717364311218,-0.4297775626182556,0.945690393447876,0.493420660495758,0.4866568446159363,0.2293987423181533,0.0301831644028425,0.5115225315093994,0.557172417640686,-0.1321554630994796,0.7444665431976318,0.5007441639900208,0.5081144571304321,0.2405586242675781,0.0401422679424285,0.516019880771637,0.5811499357223511,-0.1495334059000015,0.7156072854995728,0.5081431269645691,0.5083469152450562,0.1986788809299469,0.0416955165565013,0.5242958664894104,0.5809535980224609,-0.1285886913537979,0.7086822986602783,0.5009722113609314,0.4986787438392639,0.206765741109848,0.044726725667715,0.5191712975502014,0.5728724598884583,-0.1149425953626632,0.6608668565750122,0.3064659237861633,0.488985538482666,0.2100680917501449,0.988379716873169,0.2839930355548858,0.4996152520179748,-0.2097761183977127,0.9963556528091432,0.3845658600330353,0.6323360204696655,0.3488448560237884,0.5559197068214417,0.3660466969013214,0.6627731323242188,-0.0500304065644741,0.9903650283813475,0.3578282594680786,0.7695127129554749,0.5754560828208923,0.6723892092704773,0.3154794573783874,0.8304566144943237,0.1418515890836715,0.986526370048523,0.3365777432918548,0.7827829122543335,0.5909034609794617,0.6300207376480103,0.2805980741977691,0.852473258972168,0.1541883647441864,0.960289478302002,0.4695107340812683,0.7994661331176758,0.5566611289978027,0.7958271503448486,0.4349488615989685,0.867556095123291,0.0636822134256362,0.9803804755210876,Setup
5,0.6553189754486084,0.3218317329883575,-0.1320443302392959,0.9947579503059388,0.6701673865318298,0.3069396317005157,-0.1118959859013557,0.9936322569847108,0.6690014600753784,0.3058755397796631,-0.1121307611465454,0.9936269521713256,0.6676157712936401,0.3046169579029083,-0.112381987273693,0.9947876334190368,0.667422890663147,0.3055178821086883,-0.1830089390277862,0.9946032166481018,0.6644623279571533,0.3036145865917206,-0.1831617951393127,0.9942969083786012,0.6611550450325012,0.3014934062957763,-0.1833417117595672,0.9961000084877014,0.6360301971435547,0.2949672043323517,-0.0066942605189979,0.9902041554450988,0.6268761157989502,0.2918139100074768,-0.324163943529129,0.9941372871398926,0.628477156162262,0.3269449472427368,-0.0826942101120948,0.9926385283470154,0.6251132488250732,0.3250655829906463,-0.1754610240459442,0.9962056279182434,0.510057806968689,0.3252974450588226,0.2077059894800186,0.9929788708686828,0.5261329412460327,0.3393696844577789,-0.4691508412361145,0.9998078942298888,0.4684323668479919,0.4168540835380554,0.2928277254104614,0.026630837470293,0.484383761882782,0.4619108140468597,-0.4349832236766815,0.9466374516487122,0.4935889840126037,0.4888598024845123,0.2289612293243408,0.0312944501638412,0.5114820003509521,0.5568968057632446,-0.1422121673822403,0.7521235346794128,0.5011060237884521,0.510748028755188,0.2405156195163726,0.0414065308868885,0.5160088539123535,0.581067681312561,-0.1609504520893097,0.72343510389328,0.5080953240394592,0.5106230974197388,0.1985715925693512,0.0429696440696716,0.5241253972053528,0.5809962153434753,-0.140763908624649,0.7169095873832703,0.501632809638977,0.504818856716156,0.2062980383634567,0.0459901019930839,0.5191717743873596,0.5729158520698547,-0.1257174015045166,0.6698055267333984,0.3065282702445984,0.4892876744270324,0.2100857049226761,0.988559365272522,0.2841023504734039,0.500054121017456,-0.2097953855991363,0.9963937997817992,0.3845876455307007,0.6326441168785095,0.3507928550243377,0.5663712024688721,0.3660430908203125,0.6636237502098083,-0.0500916913151741,0.9904168248176576,0.3577443063259125,0.770668625831604,0.5824567675590515,0.6813001036643982,0.3156308829784393,0.8304560780525208,0.1402417123317718,0.9868955016136168,0.336660236120224,0.7827849984169006,0.5984870195388794,0.6367151141166687,0.2807613015174866,0.8523319363594055,0.1519471108913421,0.9610418677330016,0.4691657721996307,0.7994973063468933,0.563176691532135,0.8004136681556702,0.4353144764900207,0.8674606084823608,0.0582738816738128,0.9808086156845092,Setup
6,0.6540345549583435,0.321838766336441,-0.1326416432857513,0.9947292804718018,0.6698709726333618,0.3069453835487366,-0.1125241518020629,0.9935213327407836,0.6687406897544861,0.3058787286281585,-0.1127592474222183,0.9934879541397096,0.6673659086227417,0.3046173453330993,-0.1130073741078376,0.9946836233139038,0.6671724915504456,0.3055610060691833,-0.1836238205432891,0.9945196509361268,0.6642915606498718,0.303697258234024,-0.1837754994630813,0.9942039251327516,0.6610270142555237,0.3016056418418884,-0.1839620620012283,0.9960355758666992,0.6352348923683167,0.2949667274951935,-0.0072875567711889,0.9899629354476928,0.6258944869041443,0.2919086813926697,-0.3247632682323456,0.9940645098686218,0.6270855665206909,0.3269628882408142,-0.0832479745149612,0.9926635026931764,0.6236836910247803,0.3251258730888366,-0.1759934276342392,0.99625426530838,0.5092384815216064,0.3249925076961517,0.2063997238874435,0.9930796027183532,0.525172233581543,0.3394127488136291,-0.4692387580871582,0.9998117685317992,0.4682961404323578,0.416802167892456,0.2923996746540069,0.0269524212926626,0.4839676320552826,0.4619323313236236,-0.4400272667407989,0.9479721188545228,0.4938473999500274,0.4888319969177246,0.2289827167987823,0.0326608531177043,0.5114923119544983,0.5571760535240173,-0.1635912954807281,0.7621599435806274,0.5014435052871704,0.5107377767562866,0.2407317012548446,0.0430671088397502,0.5160053372383118,0.5813921689987183,-0.185211032629013,0.7335797548294067,0.5080485939979553,0.5105235576629639,0.1984215229749679,0.0446612574160099,0.5240612030029297,0.5813559293746948,-0.164545252919197,0.7274186015129089,0.5022268891334534,0.5063806772232056,0.2062506377696991,0.0476217381656169,0.5192536115646362,0.5740446448326111,-0.1473248898983001,0.6811558604240417,0.3075337707996368,0.4892989695072174,0.2095409333705902,0.988606333732605,0.28434818983078,0.5000883340835571,-0.2092669159173965,0.9964112043380736,0.3845247626304626,0.6326558589935303,0.3499212563037872,0.5746546387672424,0.3658377230167389,0.6636582612991333,-0.0505268238484859,0.9903528690338136,0.3658022880554199,0.766849935054779,0.5809490084648132,0.6884031295776367,0.3156448006629944,0.8301703333854675,0.1389818042516708,0.9871396422386168,0.3373636305332184,0.7824877500534058,0.5969406962394714,0.6425905227661133,0.2820051610469818,0.8520721197128296,0.1504101902246475,0.961548388004303,0.4691826701164245,0.7991691827774048,0.5619851350784302,0.8039324283599854,0.4364467561244964,0.8673349618911743,0.054412443190813,0.981070876121521,Setup
7,0.6535466909408569,0.3218746185302734,-0.1330605298280716,0.9947522282600404,0.6698369383811951,0.3069801926612854,-0.1130299642682075,0.9934714436531068,0.6687270402908325,0.305914431810379,-0.1132660582661628,0.9934098124504088,0.6673607230186462,0.3046418726444244,-0.1135116666555404,0.9946199655532836,0.6670723557472229,0.3056121468544006,-0.1837003082036972,0.9944917559623718,0.6641913056373596,0.3037656545639038,-0.1838515102863311,0.9941741228103638,0.6609043478965759,0.3016684651374817,-0.1840395778417587,0.9960148930549622,0.635178804397583,0.2949677109718323,-0.0078793168067932,0.989792823791504,0.625210702419281,0.2919091582298279,-0.3237554430961609,0.994056761264801,0.6263392567634583,0.3270444273948669,-0.08374934643507,0.9927431344985962,0.6226828098297119,0.3252213597297668,-0.1759322732686996,0.9963275194168092,0.5091375708580017,0.3249832987785339,0.2045273631811142,0.9931918382644652,0.5239439010620117,0.3393498659133911,-0.4685129523277282,0.999816119670868,0.4685832858085632,0.4167915880680084,0.2903458476066589,0.0272636841982603,0.4833087027072906,0.4618991911411285,-0.4391924142837524,0.9492567777633668,0.4941918551921844,0.4888850748538971,0.2288997620344162,0.0338611155748367,0.5113840103149414,0.557020902633667,-0.1650320589542389,0.7715988159179688,0.5015547275543213,0.5102587938308716,0.2407140284776687,0.0445036962628364,0.5157790184020996,0.581363320350647,-0.1867239624261856,0.7432045936584473,0.5079914331436157,0.5100544691085815,0.1983773708343505,0.046124417334795,0.5237624049186707,0.581314206123352,-0.1670095175504684,0.7374464273452759,0.5025880336761475,0.50673508644104,0.2061915695667266,0.0490392446517944,0.5191918611526489,0.5740906000137329,-0.1492338627576828,0.6921334862709045,0.3092139363288879,0.4893099367618561,0.2081884741783142,0.9886018633842468,0.2843753099441528,0.500085711479187,-0.2079338878393173,0.9964317083358764,0.3839527666568756,0.6326479911804199,0.3482120633125305,0.5841169953346252,0.3650479614734649,0.6636872887611389,-0.0577024146914482,0.9903780221939088,0.3722749054431915,0.7646945118904114,0.5727059841156006,0.6964784860610962,0.3156200051307678,0.8298608660697937,0.1194953098893165,0.9874066710472108,0.3397802710533142,0.7823030352592468,0.5878723859786987,0.6495146155357361,0.2824929654598236,0.851861298084259,0.1292961984872818,0.9620012640953064,0.4691774547100067,0.7990435361862183,0.5536797642707825,0.8082283735275269,0.4360211789608001,0.866533637046814,0.0314180068671703,0.9813814759254456,Setup
8,0.6541389226913452,0.3217962384223938,-0.1407894939184188,0.9947184324264526,0.6706202030181885,0.306805670261383,-0.1205961406230926,0.9933698773384094,0.6694852709770203,0.3057426214218139,-0.1208335906267166,0.9932653307914734,0.6680187582969666,0.3044511377811432,-0.1210823059082031,0.9945148825645448,0.667529284954071,0.3054710626602173,-0.1922427266836166,0.9944268465042114,0.6645243167877197,0.3036655485630035,-0.1923945099115371,0.9940990805625916,0.6611358523368835,0.3015966117382049,-0.1925885528326034,0.9959710836410522,0.635185956954956,0.2947497963905334,-0.0146876322105526,0.9895671010017396,0.6252901554107666,0.291873574256897,-0.3348621726036072,0.994025707244873,0.6264603137969971,0.3270341753959656,-0.0909493416547775,0.9928022623062134,0.622703492641449,0.3252208530902862,-0.1843694746494293,0.9963893294334412,0.5094597935676575,0.3249876797199249,0.1994028240442276,0.9933141469955444,0.522758424282074,0.3396604359149933,-0.4775556325912475,0.999820113182068,0.4692457914352417,0.4168182015419006,0.2893901169300079,0.0277380552142858,0.48282590508461,0.4622727930545807,-0.4469038546085357,0.950590193271637,0.4944177269935608,0.4898971915245056,0.2299812734127044,0.0351528823375701,0.5113125443458557,0.5580884218215942,-0.1717554181814193,0.7810919880867004,0.50168776512146,0.510586678981781,0.2427326887845993,0.0459852367639541,0.5156281590461731,0.5818344950675964,-0.1944694519042968,0.7527036666870117,0.5079726576805115,0.5110199451446533,0.1999708861112594,0.0476502850651741,0.5235020518302917,0.5816484093666077,-0.1750847399234771,0.7473536133766174,0.502659797668457,0.5082421898841858,0.2073249369859695,0.0505153946578502,0.5191283822059631,0.5746651887893677,-0.1561726778745651,0.7029361724853516,0.3111673891544342,0.4894168376922607,0.2079804688692093,0.9887050986289978,0.2843998074531555,0.5001608729362488,-0.2077357620000839,0.9964727759361268,0.3830527067184448,0.6329798102378845,0.3497653603553772,0.5931392908096313,0.3640546202659607,0.6646438837051392,-0.0570812709629535,0.9902551174163818,0.368221253156662,0.7677207589149475,0.5763959884643555,0.7028465270996094,0.3155940473079681,0.8298123478889465,0.1217297166585922,0.9874969124794006,0.3412714302539825,0.7823026180267334,0.5919047594070435,0.6544562578201294,0.2834938168525696,0.8514383435249329,0.1322928816080093,0.9620599746704102,0.4691510498523712,0.7990225553512573,0.5578121542930603,0.8111163973808289,0.434817373752594,0.8659607172012329,0.0317733511328697,0.9814260005950928,Setup
9,0.6543451547622681,0.3214689195156097,-0.1455791890621185,0.99471777677536,0.6708211898803711,0.3063517808914184,-0.1254910230636596,0.9933278560638428,0.669643759727478,0.3052970767021179,-0.1257284581661224,0.9931756258010864,0.6681127548217773,0.3039912581443786,-0.1259796768426895,0.9944624900817872,0.667647123336792,0.3050811290740967,-0.198170930147171,0.9944148063659668,0.6645963191986084,0.3033536970615387,-0.19832444190979,0.9940698146820068,0.6611732244491577,0.301352709531784,-0.1985247135162353,0.9959650039672852,0.6349072456359863,0.2943447232246399,-0.0196799747645854,0.9894201755523682,0.6253392696380615,0.2918028235435486,-0.3446232378482818,0.9940372109413148,0.626485288143158,0.3268937468528747,-0.0955927744507789,0.9928860068321228,0.6227310299873352,0.3251779675483703,-0.1903256922960281,0.9964590668678284,0.509484589099884,0.325027585029602,0.1971591264009475,0.9934518933296204,0.5219935774803162,0.3399859666824341,-0.4874265789985657,0.9998246431350708,0.4698371887207031,0.4168394207954407,0.2899100482463836,0.0279502104967832,0.4825519919395447,0.4625069200992584,-0.4564718604087829,0.9515480399131776,0.4947674572467804,0.4901040196418762,0.2325748205184936,0.0362102165818214,0.5112634301185608,0.5588608384132385,-0.176681712269783,0.788697361946106,0.5019356608390808,0.5104831457138062,0.2464308440685272,0.0472340695559978,0.5155224204063416,0.58238285779953,-0.1989936977624893,0.760267436504364,0.5079333186149597,0.5110248327255249,0.2034998387098312,0.0489330664277076,0.5231598019599915,0.5820975303649902,-0.1794055253267288,0.7552143931388855,0.5027617812156677,0.508457601070404,0.2099923491477966,0.0517475567758083,0.5189734697341919,0.5752532482147217,-0.1607959121465683,0.7115116715431213,0.3112125694751739,0.4894940853118896,0.2079912573099136,0.988882839679718,0.2845638692378998,0.5004311203956604,-0.2077484726905822,0.9965466260910034,0.3823860585689544,0.6329717040061951,0.3591109812259674,0.5985393524169922,0.3625484108924866,0.6665443181991577,-0.0555653572082519,0.989965558052063,0.3658055067062378,0.7680720090866089,0.5988520979881287,0.7067466974258423,0.3154975771903991,0.8298927545547485,0.1310265213251114,0.98748117685318,0.342838704586029,0.7821658849716187,0.6163225173950195,0.6569904685020447,0.2839472889900207,0.8513957858085632,0.1422453969717025,0.9619839787483216,0.4690293073654175,0.7979468703269958,0.5846620202064514,0.8125093579292297,0.4342508912086487,0.8652613759040833,0.0384497232735157,0.981333076953888,Setup
